form	lemma	POS	morph
མདོ་		
བྱིན་	བྱིན་	VERB
བརླབས་	བརླབས་	NO_POS
དང་	དང་	NO_POS
ལྷན་ཐབས་	ལྷན་ཐབས་	OTHER
བཅས་པ་	བཅས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
༔		PUNCT
བདག་	བདག་	PRON
ལྷ་	ལྷ་	NOUN
ར་	ལ་	PART
གསལ་བ་	གསལ་བ་	VERB
འི་	གི་	PART
ཐུགས་ཀ་	ཐུགས་ཀ་	NOUN
འི་	གི་	PART
ཧཱུཾ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
རཾ་		NON_WORD
ཡཾ་		NON_WORD
ཁཾ་		NON_WORD
གསུམ་	གསུམ་	NUM
སྤྲོས་	སྤྲོས་	VERB
ཏེ་	སྟེ་	PART
༔		PUNCT
ཧཱུཾ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
རཾ་		NON_WORD
འཕྲོས་པ་	འཕྲོས་པ་	VERB
ས་	གིས་	PART
རཾ་		NON_WORD
འོད་	འོད་	NOUN
དུ་	ལ་	PART
ཞུ་	ཞུ་	VERB
མེ་	མེ་	NOUN
འབར་བ་	འབར་བ་	VERB
ས་	གིས་	PART
མདོ་		
ཀྱི་	གི་	PART
དངོས་པོ་	དངོས་པོ་	NOUN
དང་	དང་	NO_POS
མཚན་མ་	མཚན་མ་	NOUN
རྣམས་	རྣམས་	DET
བསྲེག་	བསྲེག་	VERB
༔		PUNCT
རཾ་		NON_WORD
ཛྭ་		NON_WORD
ལ་	ལ་	PART
མཎྜལ་		NON_WORD
ལ་	ལ་	PART
རཾ་		NON_WORD
།		PUNCT
ཧཱུཾ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
ཡཾ་		NON_WORD
འཕྲོ་	འཕྲོ་	NOUN
ས་	གིས་	PART
འོད་	འོད་	NOUN
དུ་	ལ་	PART
ཞུ་	ཞུ་	VERB
རླུང་	རླུང་	NOUN
དུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
མདོ་		
ཀྱིས་	གིས་	PART
དངོས་པོ་	དངོས་པོ་	NOUN
དང་	དང་	NO_POS
བག་ཆགས་	བག་ཆགས་	NOUN
ངན་པ་	ངན་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
གཏོ་	གཏོ་	VERB
༔		PUNCT
ཡཾ་		NON_WORD
མཎྜལ་		NON_WORD
ཡཾ་		NON_WORD
།		PUNCT
ཧཱུཾ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
ཁཾ་		NON_WORD
འཕྲོ་	འཕྲོ་	NOUN
ས་	གིས་	PART
འོད་	འོད་	NOUN
དུ་	ལ་	PART
ཞུ་	ཞུ་	VERB
ཆུ་		
གྱུར་	གྱུར་	VERB
མདོ་		
ཀྱི་	གི་	PART
དངོས་པོ་	དངོས་པོ་	NOUN
དང་	དང་	NO_POS
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རྟོག་པ་	རྟོག་པ་	VERB
མ་ལུས་པ་	མ་ལུས་པ་	OTHER
བཀྲུས་	བཀྲུས་	NO_POS
༔		PUNCT
ཁཾ་		NON_WORD
མཎྜལ་		NON_WORD
ཁཾ་		NON_WORD
༔		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭ་		NON_WORD
བྷ་	བྷ་	NO_POS
ཝ་	ཝ་	OTHER
༴		PUNCT
གླུད་རྫས་	གླུད་རྫས་	NO_POS
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
དག་པ་	དག་པ་	VERB
